Date,City,State,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2020-09-30,Los Angeles-Long Beach-Anaheim,CA,971000.0,1.36,730333.0,2.34,712282.0,1.51,2441.0,0.12
2020-09-30,Chicago,IL,349967.0,0.33,265833.0,1.27,250506.0,1.17,1693.0,-1.05
2020-09-30,Dallas-Fort Worth,TX,359767.0,0.46,298825.0,0.79,269375.0,0.98,1434.0,0.14
2020-09-30,Philadelphia,PA,336333.0,1.0,283000.0,1.32,265047.0,1.21,1593.0,0.0
2020-09-30,Houston,TX,331506.0,1.29,265000.0,0.25,229046.0,0.85,1358.0,0.22
2020-09-30,Washington,DC,548217.0,-0.5,456142.0,0.74,459075.0,1.04,1981.0,-0.85
2020-09-30,Miami-Fort Lauderdale,FL,401847.0,0.5,329333.0,1.02,314291.0,0.74,1950.0,0.31
2020-09-30,Atlanta,GA,354667.0,0.98,287035.0,1.76,257205.0,1.07,1506.0,0.67
2020-09-30,Boston,MA,649900.0,0.25,525833.0,0.89,520394.0,1.29,2426.0,-2.33
2020-09-30,San Francisco,CA,999167.0,0.05,901667.0,1.16,1155674.0,1.1,2918.0,-1.98
2020-09-30,Detroit,MI,283300.0,-1.05,221533.0,2.47,189524.0,1.43,1223.0,0.74
2020-09-30,Riverside,CA,471667.0,2.24,421597.0,1.99,405764.0,1.42,2010.0,1.77
2020-09-30,Phoenix,AZ,399967.0,0.77,327665.0,1.87,311055.0,1.73,1446.0,1.12
2020-09-30,Seattle,WA,664333.0,-1.04,558332.0,1.82,564284.0,1.67,1918.0,-1.18
2020-09-30,Minneapolis-St Paul,MN,386037.0,-1.76,311317.0,0.87,308814.0,0.99,1509.0,-0.26
2020-09-30,San Diego,CA,841267.0,0.0,652000.0,2.92,641202.0,1.6,2377.0,0.55
2020-09-30,St. Louis,MO,257133.0,-0.71,218333.0,0.77,192923.0,1.13,1097.0,0.46
2020-09-30,Tampa,FL,296854.0,1.43,260167.0,1.3,241252.0,1.16,1505.0,0.94
2020-09-30,Baltimore,MD,361342.0,-0.91,323217.0,2.07,309687.0,1.02,1530.0,0.39
2020-09-30,Denver,CO,543667.0,-1.15,461667.0,0.92,464065.0,0.95,1653.0,-0.12
2020-09-30,Pittsburgh,PA,234163.0,0.01,199998.0,1.69,171578.0,1.5,1182.0,-0.42
2020-09-30,Portland,OR,499937.0,0.8,438000.0,1.0,441927.0,28.96,1610.0,0.19
2020-09-30,Portland,OR,499937.0,0.8,438000.0,1.0,347005.0,-21.48,1610.0,0.19
2020-09-30,Charlotte,NC,369651.0,0.53,297133.0,0.85,258556.0,1.05,1407.0,0.43
2020-09-30,Sacramento,CA,559663.0,2.19,472667.0,2.09,452641.0,1.61,1904.0,1.01
2020-09-30,San Antonio,TX,299633.0,-0.1,254667.0,0.87,243242.0,0.97,1228.0,0.16
2020-09-30,Orlando,FL,330633.0,0.7,283442.0,0.64,268262.0,0.52,1527.0,0.13
2020-09-30,Cincinnati,OH,327533.0,-2.04,215000.0,-0.15,201024.0,0.96,1217.0,0.5
2020-09-30,Cleveland,OH,214300.0,-3.02,173833.0,0.68,170455.0,-7.26,1175.0,-0.17
2020-09-30,Cleveland,OH,214300.0,-3.02,173833.0,0.68,184453.0,8.21,1175.0,-0.17
2020-09-30,Kansas City,MO,353317.0,-2.3,258300.0,1.29,220641.0,1.13,1163.0,1.31
